                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.96206,                 2.8945,                0.53542,                0.84521,                0.82771,                0.42834,                0.55356,                0.34074,                0.29247,                0.13451,                0.07476,                0.03449,                 1.2502,                 3.6998,                0.65473,                0.92204,               0.006205,               0.006205,               0.006205
                     25,                0.95515,                 2.9047,                 0.5253,                0.84681,                0.81317,                0.42274,                0.56078,                0.34737,                 0.3209,                0.14171,                 0.0866,                0.03969,                 1.2482,                 3.7774,                0.64772,                0.91964,                0.00604,                0.00604,                0.00604
                     26,                0.94269,                 2.8413,                0.51392,                0.84446,                 0.8483,                0.42994,                 0.5711,                0.35956,                0.30092,                0.13131,                0.07615,                0.03666,                  1.186,                 3.7127,                0.63638,                0.91476,               0.005875,               0.005875,               0.005875
                     27,                0.92464,                 2.8297,                0.50652,                0.84211,                0.78901,                0.43414,                0.57041,                0.35765,                0.25186,                0.13371,                0.08658,                0.03924,                 1.2464,                 3.7386,                0.64766,                0.92713,                0.00571,                0.00571,                0.00571
                     28,                0.91621,                 2.7786,                0.49494,                0.83889,                0.77207,                0.42434,                0.56748,                 0.3576,                0.32227,                0.13291,                0.09456,                0.04444,                  1.214,                 3.6149,                0.65453,                0.94358,               0.005545,               0.005545,               0.005545
                     29,                0.89887,                 2.7224,                0.49892,                0.83708,                0.80637,                0.41553,                0.55573,                0.35155,                0.29365,                0.15132,                 0.0949,                0.04301,                   1.25,                 3.7573,                0.64641,                0.95228,                0.00538,                0.00538,                0.00538
                     30,                0.88894,                 2.7036,                0.48417,                0.83295,                0.84159,                0.41713,                0.56613,                0.36536,                0.25916,                 0.1273,                0.08395,                 0.0406,                 1.1966,                 3.5517,                0.63272,                0.93633,               0.005215,               0.005215,               0.005215
                     31,                0.87574,                  2.632,                0.48114,                 0.8312,                0.82042,                0.41473,                 0.5575,                 0.3548,                0.29473,                 0.1297,                0.08191,                0.03869,                 1.2006,                 3.5079,                 0.6196,                0.92639,                0.00505,                0.00505,                0.00505
                     32,                0.86797,                 2.6313,                0.47513,                0.83314,                0.82323,                0.42674,                0.59217,                 0.3745,                0.31042,                0.16653,                0.12193,                0.05462,                 1.2061,                 3.8122,                0.62373,                0.93803,               0.004885,               0.004885,               0.004885
                     33,                0.85049,                 2.6679,                0.46387,                0.82869,                0.79429,                0.42043,                0.57369,                0.36188,                0.27458,                0.14331,                0.09671,                 0.0426,                 1.2183,                 3.8232,                0.64547,                0.93816,                0.00472,                0.00472,                0.00472
                     34,                0.84406,                 2.6237,                0.46876,                0.82854,                 0.8288,                0.42594,                0.57666,                0.36755,                0.30453,                0.13707,                0.09454,                0.04743,                 1.1943,                 3.6528,                0.60187,                0.91961,               0.004555,               0.004555,               0.004555
                     35,                0.82937,                  2.584,                0.44976,                0.82347,                0.87111,                0.41633,                0.59186,                0.38119,                0.36454,                 0.1704,                0.13515,                0.06344,                  1.197,                 3.8781,                0.60423,                0.92987,                0.00439,                0.00439,                0.00439
                     36,                0.82152,                 2.5188,                0.45216,                0.82098,                0.86691,                0.41954,                 0.5909,                0.37915,                0.28787,                0.14572,                0.11468,                0.05101,                 1.1925,                  3.698,                0.61217,                0.93563,               0.004225,               0.004225,               0.004225
                     37,                0.81221,                 2.4753,                0.44285,                0.82069,                 0.8057,                0.43235,                0.60661,                0.39303,                0.31722,                0.14492,                0.12261,                0.05689,                 1.1758,                 3.7397,                0.60475,                0.93489,                0.00406,                0.00406,                0.00406
