                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.1251,                 2.9242,                0.64405,                0.83958,                0.68573,                 0.2713,                0.37643,                0.21294,                0.15718,                0.06409,                0.03869,                0.01591,                 1.3669,                 3.8055,                 1.0239,                0.90152,               0.004555,               0.004555,               0.004555
                     24,                 1.1081,                 2.8861,                0.62845,                0.83769,                0.66482,                0.30327,                 0.3742,                0.21626,                 0.1251,                0.06718,                 0.0241,                0.01039,                 1.2757,                 3.7049,                0.79235,                0.89204,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.1064,                  2.866,                0.62343,                0.83352,                 0.6781,                0.30502,                0.38113,                0.21782,                0.20627,                0.09936,                0.05194,                0.02188,                 1.2983,                 3.7594,                0.78056,                 0.8888,                0.00406,                0.00406,                0.00406
                     26,                 1.0826,                 2.8845,                0.59962,                 0.8319,                0.67424,                0.31686,                0.39498,                0.22616,                0.14291,                0.07465,                0.03222,                0.01408,                 1.2968,                 3.6424,                0.80451,                0.89473,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.0558,                 2.8312,                0.58584,                0.83657,                0.72291,                0.31763,                 0.4041,                0.23549,                0.16722,                0.07825,                0.03874,                0.01662,                 1.2643,                 3.6942,                0.76215,                0.88531,               0.003565,               0.003565,               0.003565
                     28,                  1.053,                  2.771,                0.57571,                0.82556,                0.69078,                0.30246,                0.39733,                0.23407,                0.16446,                0.07696,                0.04137,                0.01803,                 1.2656,                 3.7693,                0.80224,                0.88762,              0.0033175,              0.0033175,              0.0033175
                     29,                 1.0266,                 2.7604,                0.56731,                0.82512,                0.71494,                0.29447,                0.37746,                0.22177,                0.21906,                0.10116,                0.05407,                0.02092,                 1.2656,                 3.8612,                0.77787,                0.88806,                0.00307,                0.00307,                0.00307
                     30,                 1.0121,                  2.746,                0.55412,                0.82685,                0.69978,                0.31171,                0.38999,                0.23015,                0.19363,                0.09009,                0.04365,                0.01696,                 1.2385,                 3.5908,                0.74905,                0.88435,              0.0028225,              0.0028225,              0.0028225
                     31,                0.98942,                  2.689,                0.53409,                0.81682,                0.70773,                  0.313,                0.40023,                0.23536,                0.15884,                0.07979,                0.03937,                 0.0168,                 1.2412,                 3.7334,                0.73507,                0.88464,               0.002575,               0.002575,               0.002575
                     32,                0.98119,                 2.6674,                0.52903,                0.81125,                0.75484,                0.30274,                0.40292,                0.24308,                0.20873,                0.09344,                0.05317,                0.02185,                 1.2208,                 3.6464,                0.72241,                0.88017,              0.0023275,              0.0023275,              0.0023275
                     33,                0.94773,                 2.5676,                0.50807,                 0.8132,                0.72838,                0.30631,                0.40141,                0.24308,                 0.1924,                0.08468,                0.04907,                0.02073,                 1.2339,                 3.6972,                0.74765,                  0.886,                0.00208,                0.00208,                0.00208
                     34,                0.92939,                 2.5782,                0.49541,                0.81326,                 0.7314,                 0.3112,                0.41354,                0.24469,                0.21463,                0.09807,                 0.0583,                0.02434,                 1.2318,                 3.7266,                0.72475,                0.88522,              0.0018325,              0.0018325,              0.0018325
                     35,                0.92148,                 2.5288,                0.49333,                0.80574,                0.73694,                0.31656,                0.41672,                 0.2483,                0.19045,                0.09163,                   0.05,                0.02174,                  1.211,                 3.6437,                0.70899,                0.87883,               0.001585,               0.001585,               0.001585
                     36,                0.90383,                 2.4781,                 0.4889,                0.80491,                0.77733,                0.30734,                0.40795,                 0.2429,                0.21924,                0.10219,                0.06095,                0.02483,                 1.2172,                 3.8151,                 0.7205,                0.88101,              0.0013375,              0.0013375,              0.0013375
                     37,                0.88279,                 2.4681,                0.47389,                0.80418,                0.76498,                0.31145,                0.41446,                0.24692,                0.21817,                0.09807,                  0.056,                0.02359,                 1.2078,                 3.7715,                0.69433,                0.87772,                0.00109,                0.00109,                0.00109
                     38,                0.86659,                 2.4194,                0.46051,                0.80449,                0.76423,                0.31068,                 0.4174,                0.24773,                0.21248,                0.09396,                0.05602,                0.02385,                  1.201,                 3.6874,                0.69753,                0.87816,              0.0008425,              0.0008425,              0.0008425
                     39,                0.84888,                 2.4283,                 0.4518,                0.79821,                0.75444,                0.31454,                0.41865,                0.25022,                0.23834,                0.10425,                0.06639,                0.02779,                 1.1996,                 3.7547,                0.69482,                 0.8781,               0.000595,               0.000595,               0.000595
