                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2499,                 3.8904,                 10.694,                 1.4909,                0.02558,                0.05743,                0.00504,                0.00256,                0.02859,                0.06419,                0.00583,                0.00273,                 1.9263,                 3.1679,                 5.0029,                 1.2754,               0.066868,             3.3165e-05,             3.3165e-05
                      1,                 1.9022,                 3.0883,                 3.7844,                 1.2889,                0.27667,                0.21192,                0.14972,                0.07819,                0.27667,                0.21192,                0.15142,                 0.0789,                 1.7671,                 2.8244,                 3.0013,                 1.1984,               0.033568,             6.5833e-05,             6.5833e-05
                      2,                 1.7265,                  2.724,                 2.7532,                  1.209,                 0.4489,                  0.366,                0.34839,                0.18202,                0.45504,                0.36824,                 0.3524,                0.17786,                 1.7024,                 2.5791,                 2.2434,                  1.179,             0.00026619,             9.7835e-05,             9.7835e-05
                      3,                 1.6529,                 2.5415,                 2.2401,                 1.1911,                0.57548,                0.55068,                0.55382,                  0.302,                0.58791,                0.54463,                 0.5575,                0.28346,                 1.6266,                 2.4165,                 1.7091,                 1.1332,                9.7e-05,                9.7e-05,                9.7e-05
                      4,                 1.6342,                 2.3852,                  1.928,                 1.1676,                0.63608,                0.57868,                0.62169,                0.34628,                0.63608,                0.57868,                0.62016,                0.31754,                 1.5412,                 2.3359,                 1.4876,                 1.0882,                9.7e-05,                9.7e-05,                9.7e-05
                      5,                 1.5757,                 2.2941,                 1.7251,                 1.1464,                0.70043,                0.63514,                0.66895,                0.38012,                0.71615,                0.63514,                0.67134,                0.34558,                  1.492,                 2.2442,                 1.3775,                 1.0663,                9.6e-05,                9.6e-05,                9.6e-05
                      6,                 1.5485,                 2.2585,                 1.5765,                 1.1296,                0.70587,                0.66216,                0.69789,                0.39739,                0.70802,                0.66216,                0.69799,                0.36602,                 1.4866,                  2.208,                 1.3007,                 1.0526,                9.5e-05,                9.5e-05,                9.5e-05
                      7,                  1.534,                 2.2404,                 1.4696,                 1.1134,                  0.741,                0.62838,                0.72316,                0.41049,                  0.741,                0.62838,                 0.7153,                0.37194,                 1.4689,                 2.1828,                 1.2547,                 1.0458,             9.4001e-05,             9.4001e-05,             9.4001e-05
                      8,                 1.5072,                 2.2021,                 1.4211,                 1.0992,                0.75454,                 0.6723,                0.75158,                0.43548,                  0.754,                 0.6723,                0.74932,                0.39281,                 1.4451,                 2.1104,                 1.1764,                 1.0293,             9.3001e-05,             9.3001e-05,             9.3001e-05
                      9,                 1.4992,                 2.1422,                 1.3768,                 1.0905,                0.73353,                0.69749,                0.77143,                  0.443,                0.72156,                 0.7027,                0.75972,                0.40298,                 1.4297,                 2.0835,                 1.1191,                 1.0267,             9.2001e-05,             9.2001e-05,             9.2001e-05
                     10,                 1.4699,                 2.1414,                 1.3138,                 1.0767,                0.74435,                0.71806,                0.77466,                0.44909,                0.74093,                0.72297,                0.77199,                0.41124,                 1.4332,                  2.084,                 1.0982,                 1.0232,             9.1001e-05,             9.1001e-05,             9.1001e-05
