                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3544,                 3.6824,                0.88307,                0.97442,                 0.5841,                0.31845,                0.38681,                0.21186,                0.21784,                0.13394,                0.06587,                0.02412,                 1.4906,                 4.1327,                 1.3058,                 1.0053,               0.007822,               0.007822,               0.007822
                     24,                  1.348,                 3.7091,                0.86079,                0.97524,                0.65344,                0.38339,                0.44923,                0.24739,                0.20665,                0.12211,                0.04363,                  0.015,                 1.4312,                 3.7347,                0.90141,                0.99033,               0.007723,               0.007723,               0.007723
                     25,                 1.3251,                 3.6556,                0.85373,                0.96584,                0.54608,                0.34427,                 0.4009,                0.22751,                0.21196,                0.13125,                0.05886,                0.02107,                 1.4254,                 4.0393,                 1.1825,                0.98692,               0.007624,               0.007624,               0.007624
                     26,                 1.3222,                 3.6394,                0.85268,                0.96131,                0.72636,                0.36555,                0.45872,                 0.2559,                0.28898,                0.14201,                0.06557,                0.02102,                 1.4214,                 3.7945,                0.93237,                0.98673,               0.007525,               0.007525,               0.007525
                     27,                 1.3125,                 3.5876,                0.84485,                0.96018,                0.53323,                0.29747,                0.33226,                0.18979,                0.15974,                0.10758,                0.04117,                0.01559,                 1.4878,                 4.3194,                 1.5874,                0.99869,               0.007426,               0.007426,               0.007426
                     28,                 1.3139,                  3.617,                0.82587,                0.95921,                0.69191,                0.38417,                0.46184,                0.26208,                0.28047,                0.15492,                 0.0756,                0.02607,                 1.3966,                 3.8291,                0.88645,                0.98503,               0.007327,               0.007327,               0.007327
                     29,                 1.3005,                 3.6496,                 0.8226,                0.96114,                0.59261,                0.38946,                0.43576,                 0.2526,                0.19247,                0.13018,                0.05242,                 0.0186,                 1.3811,                 3.8517,                0.99243,                0.97948,               0.007228,               0.007228,               0.007228
                     30,                 1.2797,                 3.5906,                0.81466,                0.94877,                0.63658,                0.32975,                0.40926,                0.23846,                0.23368,                0.12695,                0.07231,                0.03019,                 1.4012,                 4.1627,                 1.3781,                0.98003,               0.007129,               0.007129,               0.007129
                     31,                 1.2792,                 3.5787,                0.81153,                0.95003,                0.79887,                 0.3674,                0.47708,                0.27057,                0.25608,                0.13233,                0.05673,                0.02008,                 1.3586,                 3.7505,                0.82832,                0.96873,                0.00703,                0.00703,                0.00703
                     32,                 1.2685,                 3.5794,                0.78559,                0.94284,                0.63621,                0.34051,                 0.4124,                0.23906,                0.25804,                0.12641,                0.06686,                0.02668,                 1.4047,                 4.0561,                 1.3036,                 0.9801,               0.006931,               0.006931,               0.006931
                     33,                 1.2579,                 3.5481,                0.78271,                0.94334,                0.66887,                 0.3986,                0.48187,                0.27823,                 0.2174,                0.13502,                0.05768,                 0.0214,                 1.3138,                 3.7056,                0.81931,                0.96002,               0.006832,               0.006832,               0.006832
                     34,                 1.2522,                 3.5183,                0.76221,                0.94514,                0.78241,                0.36579,                0.46595,                0.27162,                0.27451,                0.12803,                0.05544,                 0.0201,                 1.3201,                 3.7075,                0.82007,                0.96654,               0.006733,               0.006733,               0.006733
                     35,                 1.2495,                 3.5018,                0.76504,                0.94496,                0.66696,                 0.3475,                0.44101,                0.25539,                0.21768,                0.12318,                 0.0541,                0.01866,                 1.3859,                 3.8344,                0.98249,                0.98815,               0.006634,               0.006634,               0.006634
                     36,                 1.2497,                 3.4883,                0.76615,                0.94045,                0.51494,                0.33464,                0.37006,                0.22086,                0.20068,                0.12103,                0.05075,                 0.0196,                  1.423,                 4.2858,                 1.2027,                0.97867,               0.006535,               0.006535,               0.006535
                     37,                 1.2478,                  3.511,                0.75847,                0.93613,                0.64267,                0.38838,                0.48586,                0.28309,                0.27113,                0.13771,                 0.0793,                 0.0294,                 1.3243,                 3.9091,                0.94173,                 0.9648,               0.006436,               0.006436,               0.006436
                     38,                 1.2297,                 3.4665,                0.75116,                0.93608,                0.74425,                0.38999,                0.48548,                0.28111,                0.22379,                0.11135,                 0.0481,                0.01786,                 1.3142,                 3.6225,                0.80512,                0.96811,               0.006337,               0.006337,               0.006337
