                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6578,                 4.3729,                  3.164,                 1.0338,                0.43932,                0.19974,                0.20542,                  0.107,                0.09814,                0.05714,                0.01499,                0.00412,                 1.5813,                 3.9659,                 1.5268,                0.95559,               0.070222,              0.0033086,              0.0033086
                      1,                 1.5165,                 3.6976,                  1.265,                 0.9264,                0.46548,                0.21313,                0.23536,                0.12116,                0.03059,                0.01699,                0.00612,                0.00244,                 1.6148,                 4.1717,                 1.6481,                 0.9597,               0.040128,               0.006548,               0.006548
                      2,                 1.6022,                 3.7478,                 1.2422,                0.94782,                0.31281,                0.19717,                0.16055,                0.06582,                0.01915,                0.01287,                0.00166,                0.00067,                 1.9732,                 3.9616,                 2.7498,                  1.078,              0.0099401,              0.0096931,              0.0096931
                      3,                 1.6972,                 3.7346,                 1.3006,                0.97287,                0.38853,                0.22085,                0.21158,                0.10244,                0.00879,                0.01004,                0.00126,                0.00058,                 1.8362,                 4.1362,                 1.8251,                 1.0076,              0.0095757,              0.0095757,              0.0095757
                      4,                 1.6582,                  3.763,                 1.1668,                0.95949,                0.40475,                0.20541,                0.19798,                 0.0941,                0.02015,                0.03501,                0.00423,                 0.0017,                 1.7973,                 3.9136,                 1.8187,                0.99933,              0.0095757,              0.0095757,              0.0095757
                      5,                  1.607,                 3.7005,                 1.1278,                0.94838,                0.51386,                0.26152,                0.28315,                0.14307,                0.06833,                0.02291,                0.00598,                0.00244,                 1.6124,                 3.9443,                 1.2363,                0.97376,              0.0094343,              0.0094343,              0.0094343
                      6,                 1.5519,                  3.628,                 1.0703,                0.93115,                0.54157,                0.31145,                0.32686,                0.15978,                0.04249,                0.03423,                0.00574,                0.00213,                 1.5758,                 3.8572,                 1.1856,                0.95717,              0.0092929,              0.0092929,              0.0092929
                      7,                 1.5078,                  3.588,                 1.0293,                 0.9247,                0.47592,                0.23835,                0.25579,                0.13805,                0.05588,                 0.0417,                0.01177,                0.00494,                 1.5654,                 3.8411,                 1.2999,                0.95625,              0.0091514,              0.0091514,              0.0091514
                      8,                  1.488,                 3.4715,                0.99761,                0.91949,                0.48921,                0.25894,                0.27777,                0.14266,                0.03292,                  0.026,                 0.0057,                0.00236,                 1.6216,                 3.9115,                 1.2504,                0.97034,                0.00901,                0.00901,                0.00901
                      9,                 1.4378,                 3.4803,                 0.9437,                0.90668,                0.48562,                0.23159,                0.25751,                0.13913,                0.09053,                0.04994,                0.01469,                0.00519,                 1.6049,                 4.0278,                 1.5042,                0.96167,              0.0088686,              0.0088686,              0.0088686
