                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9395,                 4.2312,                 4.3658,                 1.1623,                0.35812,                0.19473,                0.17147,                0.09793,                0.03456,                0.03389,                0.00342,                0.00089,                 1.5476,                 4.5194,                 2.1137,                 1.0298,               0.067102,              0.0003323,              0.0003323
                      1,                 1.4639,                 3.3383,                 1.7545,                0.95932,                0.59521,                0.30215,                0.33334,                0.19197,                0.14136,                0.09091,                0.02472,                0.00725,                 1.3529,                 4.0816,                 1.2063,                0.94191,               0.034097,             0.00066009,             0.00066009
                      2,                 1.3958,                 3.1898,                 1.2698,                0.92591,                0.64789,                0.32267,                0.38876,                0.22534,                0.20812,                0.10866,                 0.0496,                 0.0171,                 1.3286,                 4.0023,                 1.2248,                0.93257,              0.0010855,             0.00098234,             0.00098234
                      3,                 1.3679,                  3.169,                 1.1054,                0.91497,                0.70585,                0.33029,                0.41058,                0.23778,                0.12798,                0.08763,                0.02441,                0.00827,                 1.3454,                 3.9921,                0.94355,                0.92668,             0.00097503,             0.00097503,             0.00097503
                      4,                 1.3257,                 3.0633,                 1.0003,                0.90268,                0.68395,                0.36902,                0.44308,                0.26313,                0.16277,                 0.0979,                0.03418,                0.01326,                 1.2949,                 3.8968,                0.89942,                0.92214,             0.00097503,             0.00097503,             0.00097503
                      5,                 1.3176,                 3.0106,                0.95767,                0.90283,                0.69894,                0.36041,                0.44185,                0.25727,                0.22967,                0.12211,                0.05018,                0.01878,                 1.3028,                 3.8413,                0.82771,                 0.9224,              0.0009667,              0.0009667,              0.0009667
                      6,                 1.2954,                 2.9661,                0.89661,                0.89944,                 0.7086,                0.37018,                0.44301,                0.26615,                0.20505,                0.12157,                0.04461,                0.01653,                 1.2533,                 3.7829,                0.81621,                 0.9133,             0.00095838,             0.00095838,             0.00095838
                      7,                  1.296,                 2.9346,                0.88405,                0.89192,                 0.7076,                0.37278,                0.46718,                0.27405,                0.16324,                0.09938,                 0.0369,                0.01435,                  1.304,                 3.8076,                0.82561,                0.90961,             0.00095005,             0.00095005,             0.00095005
                      8,                 1.2848,                 2.8688,                0.86306,                0.89072,                0.75487,                 0.3674,                0.46578,                0.26497,                0.18993,                0.10167,                0.04008,                0.01632,                 1.3266,                 3.8726,                0.78904,                0.91881,             0.00094173,             0.00094173,             0.00094173
                      9,                 1.2505,                 2.9315,                0.81698,                0.88022,                0.69377,                0.37292,                0.46244,                0.27252,                 0.2328,                 0.1291,                 0.0641,                0.02536,                 1.3324,                 3.7878,                0.83496,                0.91686,              0.0009334,              0.0009334,              0.0009334
                     10,                 1.2284,                  2.889,                 0.8033,                0.88439,                 0.7492,                0.35342,                0.45296,                0.27426,                0.19496,                0.11565,                0.04443,                0.01725,                 1.2807,                 3.6819,                0.77585,                0.90815,             0.00092508,             0.00092508,             0.00092508
                     11,                 1.2291,                 2.8139,                0.78211,                0.87836,                0.73687,                 0.3781,                0.46531,                0.28038,                0.18919,                0.10274,                0.03983,                0.01707,                 1.2431,                 3.6974,                0.74687,                0.89771,             0.00091675,             0.00091675,             0.00091675
