                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6578,                 4.3729,                  3.164,                 1.0338,                0.43932,                0.19974,                0.20542,                  0.107,                0.09814,                0.05714,                0.01499,                0.00412,                 1.5813,                 3.9659,                 1.5268,                0.95559,               0.070222,              0.0033086,              0.0033086
                      1,                 1.5019,                  3.698,                 1.2468,                0.92338,                0.54097,                0.21568,                0.25451,                0.12705,                0.04422,                0.01956,                0.00837,                0.00437,                 1.6356,                 4.0566,                 1.6588,                0.96203,               0.040091,              0.0065105,              0.0065105
                      2,                 1.5944,                 3.7311,                 1.2277,                0.94126,                0.39504,                0.19923,                 0.1776,                0.07956,                0.02547,                0.03115,                0.00326,                0.00122,                 1.8746,                 4.0314,                 2.5957,                 1.0152,              0.0098272,              0.0095803,              0.0095803
                      3,                 1.6895,                  3.706,                 1.2965,                0.96861,                0.41154,                0.26435,                0.25511,                0.12761,                0.02313,                0.02445,                0.00295,                 0.0009,                 1.6952,                 4.0961,                 1.8566,                0.99073,               0.009406,               0.009406,               0.009406
                      4,                 1.6485,                 3.7598,                 1.1728,                0.95639,                0.46557,                0.24968,                0.25045,                0.12608,                0.03115,                0.04041,                0.00799,                0.00462,                 1.6387,                 3.7771,                 1.4276,                0.98309,               0.009406,               0.009406,               0.009406
                      5,                 1.5811,                 3.6877,                 1.1115,                0.93906,                0.41987,                0.22162,                0.22611,                0.11721,                0.04877,                0.02548,                0.00565,                0.00223,                 1.7209,                 3.9608,                 1.5394,                 1.0039,               0.009208,               0.009208,               0.009208
                      6,                 1.5495,                 3.6705,                  1.066,                0.93182,                0.51123,                0.28726,                0.30201,                 0.1472,                0.04831,                 0.0471,                0.00824,                0.00304,                 1.6275,                 3.8382,                 1.2643,                0.96311,                0.00901,                0.00901,                0.00901
                      7,                 1.5041,                 3.5496,                  1.016,                0.91875,                0.49098,                0.22934,                0.26215,                0.13877,                0.04863,                0.02857,                0.00928,                0.00362,                 1.6328,                 3.9079,                 1.4706,                0.97429,               0.008812,               0.008812,               0.008812
                      8,                 1.4627,                  3.519,                0.96339,                0.91315,                0.47362,                0.25225,                0.26992,                0.14399,                0.03814,                0.03063,                0.00698,                0.00335,                 1.5597,                  3.948,                 1.2415,                0.94669,               0.008614,               0.008614,               0.008614
                      9,                 1.4379,                 3.4785,                0.93669,                0.90719,                0.54602,                0.24118,                0.28589,                0.14982,                0.04388,                0.02136,                0.00716,                0.00295,                 1.6128,                 3.8878,                 1.4672,                0.95984,               0.008416,               0.008416,               0.008416
                     10,                 1.3872,                 3.4427,                 0.8945,                0.89455,                0.50602,                 0.2713,                0.29089,                0.15459,                0.04494,                0.03861,                0.00693,                0.00277,                 1.5147,                 3.9212,                  1.133,                0.93485,               0.008218,               0.008218,               0.008218
                     11,                 1.3831,                 3.3404,                0.88028,                0.89557,                0.56123,                0.27259,                0.32403,                0.17226,                0.08296,                0.04582,                 0.0176,                0.00718,                 1.4808,                 3.8331,                 1.1282,                0.93283,                0.00802,                0.00802,                0.00802
                     12,                 1.3581,                 3.3425,                0.84717,                0.88918,                0.57286,                 0.2399,                0.29434,                0.16242,                0.13614,                0.06306,                0.02848,                0.01126,                 1.5553,                  4.016,                 1.4688,                 0.9354,               0.007822,               0.007822,               0.007822
                     13,                 1.3332,                 3.3087,                0.83658,                0.88059,                0.60731,                0.30116,                0.34734,                 0.1926,                0.11549,                0.07001,                0.02154,                0.00764,                 1.3722,                 3.9197,                0.90873,                0.90972,               0.007624,               0.007624,               0.007624
                     14,                 1.3276,                 3.3118,                0.80912,                0.88068,                0.60367,                0.30013,                0.35428,                 0.1946,                0.09503,                0.05277,                0.01713,                0.00701,                 1.4135,                 3.7778,                0.96201,                0.91268,               0.007426,               0.007426,               0.007426
                     15,                 1.3064,                 3.2201,                0.79343,                0.87219,                0.60063,                0.30373,                0.35026,                 0.1948,                0.09052,                0.06212,                0.01678,                0.00673,                 1.3736,                 3.6681,                0.88546,                0.90356,               0.007228,               0.007228,               0.007228
                     16,                 1.2698,                 3.2272,                0.76498,                0.86845,                0.57532,                0.28803,                 0.3347,                 0.1893,                0.06902,                0.04556,                0.01299,                0.00587,                 1.3666,                 3.8361,                0.89296,                 0.9112,                0.00703,                0.00703,                0.00703
                     17,                 1.2579,                 3.1502,                 0.7501,                0.86727,                0.61868,                0.28649,                0.33719,                0.19379,                 0.1659,                0.09215,                0.03251,                0.01264,                  1.343,                  3.778,                0.87183,                0.90141,               0.006832,               0.006832,               0.006832
                     18,                 1.2301,                 3.1376,                0.72964,                0.86241,                0.60698,                0.28932,                0.35213,                  0.202,                 0.0875,                0.04736,                0.01885,                0.00837,                  1.339,                 3.7293,                0.91663,                0.90532,               0.006634,               0.006634,               0.006634
                     19,                 1.2261,                 3.0936,                0.71766,                 0.8613,                0.61718,                0.28218,                0.34124,                0.19258,                0.13796,                0.07135,                0.02725,                0.01053,                 1.4101,                 3.8014,                0.97386,                0.92301,               0.006436,               0.006436,               0.006436
                     20,                 1.2057,                 3.0431,                0.70843,                0.85409,                0.64805,                0.30039,                0.36989,                0.21302,                  0.131,                0.07104,                0.02772,                0.01219,                 1.3186,                 3.5668,                0.81874,                0.90346,               0.006238,               0.006238,               0.006238
