                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7588,                 2.8434,                 1.0348,                      0,                      0,                      0,                      0,                0.07275,                    inf,                 11.761,             0.00066049,             0.00066049,             0.00066049
                      2,                 1.7938,                 1.6308,                  1.006,                0.00059,                0.00103,                  7e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0012834,              0.0012834,              0.0012834
                      3,                 1.7692,                 1.5302,                0.99617,                0.38364,                0.19562,                0.17578,                0.08736,                 1.8584,                 1.9054,                 1.0507,              0.0018622,              0.0018622,              0.0018622
                      4,                 1.6331,                 1.3128,                0.96699,                0.42601,                0.20594,                0.20591,                0.10153,                 1.7138,                 1.6131,                0.98615,               0.001802,               0.001802,               0.001802
                      5,                 1.6067,                 1.2463,                0.95178,                0.46781,                0.24505,                0.25993,                 0.1387,                 1.5627,                 1.3089,                0.95421,               0.001802,               0.001802,               0.001802
                      6,                 1.5287,                 1.1727,                0.93343,                0.51436,                0.27104,                0.28882,                0.14676,                 1.5703,                 1.1821,                0.95397,               0.001736,               0.001736,               0.001736
                      7,                 1.4895,                 1.1098,                0.92269,                0.47119,                0.27225,                 0.2905,                0.14845,                 1.5399,                 1.3034,                 0.9511,                0.00167,                0.00167,                0.00167
                      8,                 1.4652,                 1.0598,                0.92126,                0.54619,                0.20927,                 0.2539,                  0.135,                 1.5813,                 1.6622,                0.96437,               0.001604,               0.001604,               0.001604
                      9,                 1.4111,                0.98965,                0.91032,                0.55091,                0.27186,                0.30868,                0.16305,                 1.4959,                 1.1777,                0.93025,               0.001538,               0.001538,               0.001538
                     10,                 1.3833,                0.97745,                0.90369,                0.50969,                0.28057,                0.31429,                0.17095,                 1.4191,                 1.0615,                 0.9165,               0.001472,               0.001472,               0.001472
                     11,                 1.3402,                0.93777,                0.90104,                0.60653,                0.28803,                0.33491,                0.18827,                 1.3951,                0.96588,                0.91797,               0.001406,               0.001406,               0.001406
                     12,                 1.3186,                0.90463,                0.89593,                0.57561,                0.28593,                0.32918,                0.18833,                 1.3509,                0.92643,                0.92085,                0.00134,                0.00134,                0.00134
                     13,                 1.3216,                0.88584,                0.88532,                0.65741,                0.26873,                0.36129,                0.20562,                 1.3881,                  1.013,                0.92411,               0.001274,               0.001274,               0.001274
                     14,                 1.2795,                0.84797,                0.88146,                0.60305,                0.28366,                0.32917,                0.18836,                  1.349,                0.89443,                 0.9132,               0.001208,               0.001208,               0.001208
                     15,                 1.2775,                0.82904,                0.88077,                0.65162,                0.29575,                0.36369,                0.20219,                 1.3896,                 0.8803,                0.90876,               0.001142,               0.001142,               0.001142
                     16,                 1.2434,                0.80323,                0.87225,                0.59987,                0.29344,                0.34752,                0.20084,                 1.3143,                0.88213,                 0.9025,               0.001076,               0.001076,               0.001076
                     17,                 1.2259,                0.77754,                0.86948,                0.64892,                0.30142,                0.37141,                0.21122,                 1.3442,                0.91253,                0.90108,                0.00101,                0.00101,                0.00101
                     18,                 1.1832,                0.74221,                0.86618,                0.66358,                0.28432,                0.34534,                0.19992,                 1.2959,                0.84189,                0.89337,               0.000944,               0.000944,               0.000944
                     19,                 1.1629,                0.72871,                0.86335,                0.64775,                 0.2963,                0.35168,                0.20544,                 1.2714,                 0.7938,                0.89314,               0.000878,               0.000878,               0.000878
                     20,                 1.1461,                0.71131,                 0.8558,                0.63984,                0.29601,                 0.3517,                0.20971,                 1.2616,                0.78491,                0.88833,               0.000812,               0.000812,               0.000812
                     21,                  1.124,                0.65462,                0.84343,                0.65717,                0.30373,                0.36987,                0.21938,                 1.2492,                0.77167,                0.89275,               0.000746,               0.000746,               0.000746
                     22,                 1.0783,                0.61577,                0.83541,                0.67827,                0.30013,                0.37783,                0.22457,                 1.2533,                0.78607,                0.88724,                0.00068,                0.00068,                0.00068
                     23,                 1.0673,                0.60116,                 0.8319,                0.72287,                0.30347,                0.40331,                  0.236,                 1.2728,                0.76424,                0.89101,               0.000614,               0.000614,               0.000614
                     24,                 1.0284,                 0.5856,                0.82691,                0.72784,                0.31094,                0.38858,                 0.2287,                 1.2429,                0.74442,                0.88676,               0.000548,               0.000548,               0.000548
                     25,                 1.0094,                0.56386,                0.82534,                0.75561,                 0.2991,                 0.3863,                0.22659,                 1.2391,                0.73393,                0.88777,               0.000482,               0.000482,               0.000482
                     26,                0.98658,                0.54262,                 0.8187,                0.71932,                0.29575,                0.38612,                0.23194,                  1.224,                0.73301,                0.88181,               0.000416,               0.000416,               0.000416
                     27,                0.95392,                0.52216,                0.81342,                0.72391,                0.31113,                  0.407,                0.24434,                 1.2192,                0.71235,                0.88173,                0.00035,                0.00035,                0.00035
                     28,                0.92512,                0.50916,                0.81006,                0.76863,                 0.3027,                0.39979,                0.24294,                  1.211,                0.70216,                0.88153,               0.000284,               0.000284,               0.000284
                     29,                0.89795,                0.49523,                0.80978,                0.72232,                0.31377,                0.40393,                0.24152,                 1.2102,                0.70307,                0.87997,               0.000218,               0.000218,               0.000218
                     30,                 0.8714,                0.47846,                0.80901,                0.79317,                0.30476,                0.41546,                0.25204,                 1.1932,                0.68373,                0.88011,               0.000152,               0.000152,               0.000152
