                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.7195,                 2.1762,                 1.4867,                 1.0271,                0.61478,                0.56213,                0.55755,                0.27826,                0.58632,                0.51761,                0.49732,                0.20353,                 1.5718,                 2.3693,                 1.2581,                0.96951,             7.9002e-05,             7.9002e-05,             7.9002e-05
                     23,                 1.6895,                 2.1679,                 1.4701,                 1.0156,                  0.624,                0.57121,                0.56328,                0.28091,                0.58981,                0.51761,                0.49759,                0.20003,                 1.5901,                 2.3857,                 1.2434,                 0.9697,             7.8002e-05,             7.8002e-05,             7.8002e-05
                     24,                 1.6886,                 2.1684,                 1.4494,                 1.0204,                0.61791,                0.56662,                0.56654,                0.28579,                0.59261,                0.51904,                0.51455,                0.20495,                 1.5619,                 2.3897,                 1.2272,                0.96301,             7.7002e-05,             7.7002e-05,             7.7002e-05
                     25,                 1.6645,                 2.1517,                 1.4233,                 1.0057,                0.60953,                0.58193,                0.56916,                0.28554,                0.58634,                0.49274,                0.49524,                0.20129,                 1.5529,                 2.3947,                 1.2108,                0.95914,             7.6002e-05,             7.6002e-05,             7.6002e-05
                     26,                 1.6604,                 2.1592,                 1.4007,                 1.0011,                0.62459,                0.58193,                0.56589,                0.28743,                 0.6026,                0.50077,                0.49756,                0.20197,                 1.5314,                 2.3894,                 1.2142,                0.95671,             7.5002e-05,             7.5002e-05,             7.5002e-05
                     27,                  1.671,                  2.088,                 1.4141,                 1.0089,                0.62487,                 0.5804,                0.57176,                0.29282,                0.59005,                0.51149,                0.49333,                0.20132,                 1.5168,                 2.3922,                 1.1962,                0.95429,             7.4003e-05,             7.4003e-05,             7.4003e-05
                     28,                 1.6554,                 2.1362,                 1.3906,                  1.004,                0.62684,                0.58499,                0.57587,                0.29474,                0.59246,                0.51761,                0.49986,                0.20608,                 1.5217,                 2.3754,                 1.1683,                0.95282,             7.3003e-05,             7.3003e-05,             7.3003e-05
                     29,                 1.6715,                 2.1733,                 1.3762,                  1.001,                  0.605,                0.59265,                0.56995,                0.28359,                0.56112,                0.54364,                0.50269,                0.19409,                  1.559,                 2.3905,                 1.1732,                0.96004,             7.2003e-05,             7.2003e-05,             7.2003e-05
                     30,                 1.6701,                  2.123,                 1.3813,                 1.0028,                0.62537,                0.59724,                0.58624,                0.30081,                0.58239,                0.53139,                0.50269,                0.20455,                 1.4983,                 2.3599,                 1.1756,                 0.9499,             7.1003e-05,             7.1003e-05,             7.1003e-05
                     31,                 1.6353,                 2.1293,                 1.3349,                0.98511,                0.63365,                0.58959,                 0.5784,                0.29631,                 0.5759,                0.52067,                0.49576,                0.19995,                 1.5161,                 2.3527,                 1.1592,                0.94824,             7.0003e-05,             7.0003e-05,             7.0003e-05
                     32,                 1.6501,                 2.1542,                 1.3595,                0.99054,                0.63103,                0.59418,                0.59247,                0.30583,                0.58169,                0.52374,                0.51483,                0.21469,                  1.504,                 2.3419,                 1.1517,                0.94841,             6.9003e-05,             6.9003e-05,             6.9003e-05
