                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4306,                  8.013,                0.95805,                      0,                      0,                      0,                      0,                 3.0348,                 16.507,                 1.6625,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.0571,                 14.291,                0.99534,                      0,                      0,                      0,                      0,                 2.9509,                 16.055,                 1.6274,              4.836e-05,              4.836e-05,              4.836e-05
                      3,                 2.4912,                 13.247,                 1.1222,                      0,                      0,                      0,                      0,                 2.8645,                  15.67,                  1.587,             7.7849e-05,             7.7849e-05,             7.7849e-05
                      4,                  1.104,                 13.503,                0.70901,                      0,                      0,                      0,                      0,                 2.8683,                 16.248,                 1.5591,             0.00010514,             0.00010514,             0.00010514
                      5,                 1.3066,                 9.4318,                0.56788,                      0,                      0,                      0,                      0,                 2.9219,                 18.892,                 1.5772,             0.00013023,             0.00013023,             0.00013023
                      6,                 1.6467,                 8.1653,                0.89128,                0.00193,                0.02273,                0.00101,                0.00061,                 2.8093,                 23.105,                 1.5381,             0.00015311,             0.00015311,             0.00015311
                      7,                  1.337,                 6.6466,                 1.0515,                0.00891,                0.09091,                0.00488,                0.00307,                 2.6539,                 18.873,                 1.4876,              0.0001738,              0.0001738,              0.0001738
                      8,                 1.5753,                 9.8951,                0.69751,                0.01242,                0.04545,                 0.0086,                0.00341,                 2.7975,                 20.248,                 1.5224,             0.00019229,             0.00019229,             0.00019229
                      9,                 2.5575,                 8.4667,                  1.402,                0.13046,                0.04545,                0.05801,                0.02525,                  2.576,                  31.92,                 1.4919,             0.00020858,             0.00020858,             0.00020858
                     10,                0.93371,                 5.2998,                0.50515,                0.02909,                0.04545,                0.00489,                0.00219,                  2.552,                  157.1,                 1.4545,             0.00022266,             0.00022266,             0.00022266
                     11,                 1.0262,                  5.433,                0.47146,                0.00594,                0.06818,                0.00154,                0.00083,                 2.6069,                 866.23,                 1.4299,             0.00023455,             0.00023455,             0.00023455
                     12,                 1.8093,                 4.5077,                0.72779,                0.00278,                0.06818,                0.00141,                0.00083,                 2.4199,                   1222,                 1.3881,             0.00024423,             0.00024423,             0.00024423
                     13,                 1.4935,                 4.3247,                0.56295,                0.00183,                0.04545,                0.00093,                 0.0007,                 2.4974,                 1520.8,                 1.3655,             0.00025172,             0.00025172,             0.00025172
                     14,                0.62611,                 3.2254,                0.43012,                0.00204,                0.06818,                0.00107,                0.00064,                 2.3677,                    inf,                 1.2759,               0.000257,               0.000257,               0.000257
                     15,                 1.7437,                 3.0319,                0.84236,                0.00204,                0.06818,                 0.0011,                0.00051,                 2.3729,                    inf,                 1.2683,             0.00026009,             0.00026009,             0.00026009
                     16,                 1.6153,                 3.3583,                0.76841,                0.00208,                0.06818,                0.00114,                0.00052,                 2.4585,                 855.59,                 1.2409,             0.00026097,             0.00026097,             0.00026097
                     17,                 2.0428,                 4.4314,                0.94697,                0.00234,                0.06818,                0.00129,                0.00076,                 2.3204,                 321.98,                 1.2497,             0.00025965,             0.00025965,             0.00025965
                     18,                0.82337,                 2.5225,                0.48003,                0.00645,                0.04545,                0.00249,                0.00146,                 2.4212,                  41.36,                 1.2974,             0.00025613,             0.00025613,             0.00025613
                     19,                 0.6766,                  2.877,                0.47445,                0.34358,                0.04545,                 0.0431,                0.02099,                 2.5584,                 10.199,                 1.3314,             0.00025042,             0.00025042,             0.00025042
                     20,                 1.8422,                 3.3281,                0.76521,                0.27838,                0.06818,                0.08532,                0.05072,                 2.4045,                 13.496,                 1.2452,              0.0002425,              0.0002425,              0.0002425
                     21,                0.70306,                 2.1726,                0.51793,                0.31858,                0.09091,                0.10327,                0.05844,                  2.374,                 17.576,                  1.268,             0.00023238,             0.00023238,             0.00023238
                     22,                 1.9767,                 2.3044,                 1.0796,                 0.1196,                0.13636,                0.11017,                0.05857,                  2.375,                 14.759,                 1.2759,             0.00022006,             0.00022006,             0.00022006
                     23,                0.57842,                 1.6138,                0.45908,                 0.1079,                0.11828,                0.09929,                 0.0511,                  2.617,                 19.658,                 1.3721,             0.00020554,             0.00020554,             0.00020554
                     24,                 1.6461,                 4.2253,                 0.8028,                0.10676,                0.11364,                 0.0685,                0.03226,                 2.5776,                 16.445,                 1.3172,             0.00018882,             0.00018882,             0.00018882
                     25,                 1.7498,                  3.277,                 0.8633,                0.16606,                0.06818,                0.06696,                0.03091,                 2.5933,                 10.498,                 1.3224,              0.0001699,              0.0001699,              0.0001699
                     26,                 1.8923,                 2.0718,                 1.0079,                0.24045,                0.09091,                 0.0807,                0.03631,                  2.533,                 6.9939,                 1.2894,             0.00014878,             0.00014878,             0.00014878
                     27,                 1.5584,                 4.5727,                0.75072,                0.57902,                0.15909,                0.12111,                0.04704,                 2.4796,                 4.9221,                 1.2566,             0.00012546,             0.00012546,             0.00012546
                     28,                  1.517,                 2.5318,                0.68388,                0.57902,                0.15909,                0.12111,                0.04704,                 2.4796,                 4.9221,                 1.2566,             9.9937e-05,             9.9937e-05,             9.9937e-05
                     29,                 1.1757,                 1.6215,                0.83377,                0.44087,                0.11364,                0.09934,                0.04629,                  2.399,                 3.9884,                 1.2337,             7.2214e-05,             7.2214e-05,             7.2214e-05
                     30,                 1.2221,                 1.1962,                0.91737,                0.39369,                0.11833,                0.11035,                0.05137,                 2.3912,                 3.5912,                  1.235,             4.2292e-05,             4.2292e-05,             4.2292e-05
