                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1353,                 2.9609,                0.63909,                0.84336,                0.66754,                0.31908,                0.39021,                0.22668,                0.14393,                0.07957,                0.02839,                0.01091,                 1.2844,                 3.6684,                0.79441,                0.89818,                0.00494,                0.00494,                0.00494
                     25,                 1.1212,                 2.9832,                0.62774,                0.83928,                0.69453,                0.31637,                0.38132,                0.22251,                0.16157,                 0.0835,                0.03144,                0.01224,                 1.2628,                 3.7989,                0.77301,                0.89167,                0.00472,                0.00472,                0.00472
                     26,                 1.1009,                 2.8744,                0.60807,                0.83848,                0.66107,                0.32855,                0.40559,                0.23627,                0.15671,                0.08904,                0.03862,                0.01694,                 1.2606,                 3.7695,                0.76917,                0.89334,                 0.0045,                 0.0045,                 0.0045
                     27,                 1.0737,                 2.9562,                0.59934,                0.83887,                0.70909,                0.31334,                0.39502,                0.23303,                0.16249,                0.08281,                0.03719,                0.01496,                 1.2771,                 3.6747,                  0.794,                 0.9016,                0.00428,                0.00428,                0.00428
                     28,                 1.0695,                 2.8858,                0.58996,                0.83278,                0.68449,                0.31882,                0.41151,                 0.2378,                0.19511,                0.09553,                0.05137,                0.02184,                 1.2975,                 3.8601,                0.80337,                0.90147,                0.00406,                0.00406,                0.00406
                     29,                 1.0664,                 2.8374,                0.58463,                0.82861,                0.70329,                0.32043,                0.40134,                0.23572,                0.17466,                 0.0866,                0.04019,                0.01632,                 1.2543,                 3.7385,                0.75788,                0.88933,                0.00384,                0.00384,                0.00384
                     30,                 1.0444,                 2.8434,                0.57124,                0.82527,                0.75354,                0.31177,                0.41467,                 0.2465,                0.14645,                0.07064,                0.03498,                0.01541,                 1.2412,                 3.6981,                0.74124,                0.89056,                0.00362,                0.00362,                0.00362
                     31,                 1.0168,                 2.8129,                0.55716,                0.82337,                0.74549,                0.31502,                0.41461,                0.24261,                0.18056,                0.09012,                0.04468,                 0.0181,                 1.2446,                 3.6578,                0.73924,                0.88472,                 0.0034,                 0.0034,                 0.0034
                     32,                  1.009,                 2.7471,                0.54742,                0.82044,                0.72542,                0.32314,                0.42086,                0.25198,                0.22279,                0.10447,                0.05617,                0.02261,                 1.2477,                 3.6985,                0.74121,                0.88667,                0.00318,                0.00318,                0.00318
                     33,                0.99094,                 2.6868,                0.53261,                0.81901,                0.72437,                0.29716,                0.39209,                0.23097,                0.14488,                0.06468,                0.03375,                0.01461,                 1.2994,                 3.7258,                0.88763,                0.90016,                0.00296,                0.00296,                0.00296
                     34,                0.97695,                 2.6923,                0.52181,                0.81938,                 0.7067,                0.31746,                0.41083,                0.24295,                0.18359,                0.09364,                 0.0461,                0.01894,                 1.2501,                 3.7497,                0.76228,                0.89252,                0.00274,                0.00274,                0.00274
                     35,                0.96246,                 2.6171,                0.51544,                0.81604,                0.72601,                0.32774,                0.42735,                0.25381,                0.19486,                0.09175,                 0.0481,                0.01968,                 1.2349,                 3.7256,                0.70891,                0.88327,                0.00252,                0.00252,                0.00252
                     36,                0.94794,                 2.6761,                0.50589,                 0.8118,                0.77393,                0.32233,                0.42332,                0.25287,                0.19984,                0.09689,                0.05258,                0.02153,                 1.2258,                 3.7796,                 0.7187,                0.89178,                 0.0023,                 0.0023,                 0.0023
                     37,                0.93282,                 2.6597,                0.49727,                 0.8102,                0.76284,                0.32558,                0.43798,                0.26194,                0.21576,                0.10122,                0.06219,                0.02594,                 1.2304,                 3.7418,                0.72648,                0.88624,                0.00208,                0.00208,                0.00208
                     38,                0.91041,                 2.5421,                 0.4898,                0.80899,                0.79831,                 0.3235,                0.43781,                0.26206,                0.21303,                0.09662,                0.05596,                0.02368,                 1.2266,                  3.809,                0.71234,                0.88687,                0.00186,                0.00186,                0.00186
                     39,                0.89931,                 2.5608,                0.48021,                0.80385,                0.76992,                0.32855,                0.43549,                0.26104,                0.20535,                 0.0977,                0.05636,                0.02307,                 1.2086,                 3.7096,                0.68949,                0.88545,                0.00164,                0.00164,                0.00164
                     40,                0.86783,                 2.4541,                0.46652,                 0.8026,                0.78816,                0.32422,                0.43636,                0.26348,                0.21496,                0.09878,                0.05654,                0.02244,                 1.2103,                  3.736,                0.70049,                0.88135,                0.00142,                0.00142,                0.00142
                     41,                0.85752,                 2.4672,                0.45838,                0.80464,                0.78434,                0.32185,                 0.4378,                0.26534,                0.22221,                0.10214,                 0.0651,                0.02712,                 1.2055,                 3.7024,                0.70987,                0.88423,                 0.0012,                 0.0012,                 0.0012
                     42,                0.83732,                  2.505,                0.45024,                0.80017,                0.75855,                0.32991,                0.44784,                0.27051,                0.23855,                0.10853,                0.07222,                0.02984,                 1.2048,                 3.6998,                0.70064,                0.88345,                0.00098,                0.00098,                0.00098
                     43,                0.82848,                 2.4133,                0.44383,                0.80162,                0.77885,                0.32788,                0.43011,                0.26125,                0.24428,                0.10474,                0.06639,                0.02875,                 1.1979,                 3.7875,                0.68994,                0.88492,                0.00076,                0.00076,                0.00076
                     44,                0.81622,                  2.373,                0.43476,                0.79939,                0.77147,                 0.3272,                0.44483,                0.27102,                0.23731,                0.10577,                0.07393,                0.03202,                 1.2036,                 3.7952,                0.68912,                 0.8847,                0.00054,                0.00054,                0.00054
