                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5564,                 4.9261,                  2.823,                 1.0505,                0.59031,                0.31899,                0.36101,                0.21105,                0.18672,                 0.1248,                0.04195,                0.01359,                 1.3967,                 4.0797,                 1.2195,                0.95524,               0.070278,              0.0033025,              0.0033025
                      1,                 1.3111,                 3.9231,                 1.0651,                0.92109,                0.63485,                0.33481,                0.37321,                0.21045,                0.09432,                0.07047,                0.01287,                0.00403,                 1.3946,                 3.9361,                  1.109,                0.93672,               0.040168,              0.0065263,              0.0065263
                      2,                 1.3813,                 3.8743,                 1.0535,                0.92728,                0.49903,                 0.2539,                0.27231,                0.14438,                0.12254,                0.09575,                 0.0231,                0.00926,                 1.6238,                 4.1878,                 2.6326,                 1.0133,              0.0099488,              0.0096402,              0.0096402
                      3,                 1.4925,                 3.8865,                 1.0565,                0.96754,                0.33713,                0.16998,                0.15272,                0.07702,                0.02396,                 0.0156,                0.00214,                0.00061,                 1.8566,                 4.4388,                 2.5287,                 1.0842,               0.009505,               0.009505,               0.009505
                      4,                 1.4187,                 3.8356,                0.97619,                0.94488,                 0.5508,                0.30984,                0.33416,                0.17961,                0.14517,                0.09198,                  0.031,                0.01188,                 1.5576,                 4.1804,                 1.3109,                0.98401,               0.009505,               0.009505,               0.009505
                      5,                 1.3764,                 3.7482,                0.92417,                 0.9357,                 0.4552,                0.25889,                0.27282,                0.14428,                0.04702,                0.04411,                0.00698,                0.00249,                 1.7364,                 4.6194,                 1.9362,                 1.0132,                0.00934,                0.00934,                0.00934
                      6,                 1.3522,                 3.6954,                0.86538,                0.92494,                0.60001,                0.32222,                0.36576,                0.20685,                0.10895,                0.06186,                0.01513,                0.00549,                 1.4904,                 4.2946,                  1.232,                0.95921,               0.009175,               0.009175,               0.009175
                      7,                 1.3261,                 3.6456,                0.84455,                0.92494,                0.55233,                0.32437,                0.36689,                0.20531,                0.06944,                0.05756,                0.01379,                0.00474,                 1.5151,                 4.2442,                 1.2235,                0.98153,                0.00901,                0.00901,                0.00901
                      8,                 1.2934,                 3.5785,                 0.8212,                0.90825,                0.64925,                0.38462,                0.45654,                0.26242,                0.15568,                0.10866,                0.04064,                0.01634,                 1.3772,                 4.1602,                0.96714,                  0.939,               0.008845,               0.008845,               0.008845
                      9,                 1.2788,                 3.5152,                0.79841,                 0.9078,                0.60687,                0.39322,                0.45653,                0.26083,                0.09125,                0.07262,                0.01685,                0.00705,                  1.358,                 4.0008,                0.89677,                0.93914,                0.00868,                0.00868,                0.00868
