                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1496,                 8.6784,                   1.57,                0.07728,                0.02484,                0.01106,                0.00566,                  2.373,                 47.321,                 1.6457,             0.00015003,             0.00015003,             0.00015003
                      2,                 2.1854,                 5.8233,                 1.3722,                0.16659,                0.10559,                0.07267,                0.04221,                 1.7822,                 17.025,                  1.307,             0.00030419,             0.00030419,             0.00030419
                      3,                 1.7502,                  3.041,                 1.0993,                0.48578,                0.07453,                0.12346,                0.06177,                 1.9776,                 10.017,                 1.5902,             0.00044514,             0.00044514,             0.00044514
                      4,                  1.806,                 2.5944,                   1.18,                0.04292,                0.20497,                0.02347,                0.01243,                 1.7578,                 113.84,                 1.7907,             0.00057289,             0.00057289,             0.00057289
                      5,                  1.829,                 2.6856,                 1.2391,                0.60407,                0.14907,                0.16057,                0.08314,                 1.9528,                 3.1247,                 1.5463,             0.00068744,             0.00068744,             0.00068744
                      6,                 1.8943,                 2.0364,                  1.138,                0.01047,                0.15528,                0.00331,                0.00143,                 2.3326,                    inf,                 39.919,             0.00078879,             0.00078879,             0.00078879
                      7,                 1.8416,                 1.8238,                 1.2049,                0.01348,                0.22981,                0.00593,                0.00227,                 2.2999,                    inf,                  24.81,             0.00087694,             0.00087694,             0.00087694
                      8,                 1.7776,                  1.751,                 1.2199,                0.00013,                0.01242,                  6e-05,                  2e-05,                 3.9415,                    inf,                  4.099,             0.00095188,             0.00095188,             0.00095188
                      9,                 1.9031,                 2.0578,                 1.2751,                0.00013,                0.01242,                  6e-05,                  2e-05,                 4.9388,                 246.54,                 3.8354,              0.0010136,              0.0010136,              0.0010136
                     10,                   1.87,                  1.903,                 1.2768,                0.56794,                0.01863,                0.03252,                0.01785,                 2.5991,                 1666.5,                 1.7395,              0.0010622,              0.0010622,              0.0010622
                     11,                 1.9267,                 2.0586,                 1.3348,                0.36593,                0.03106,                0.04747,                0.01858,                 2.4392,                 87.105,                 1.4499,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.7704,                 1.6469,                 1.2421,                0.12193,                0.09938,                0.02213,                0.00877,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.7753,                 1.6209,                 1.1467,                0.15761,                0.08075,                0.04568,                0.02498,                 2.0946,                    inf,                 1.4947,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.9331,                 1.8602,                 1.3476,                0.32952,                0.09771,                0.08338,                 0.0473,                 1.9718,                 2.2823,                 1.3432,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.8071,                 1.5335,                 1.2021,                0.35471,                0.18012,                0.15523,                0.07464,                  1.907,                 2.1238,                 1.3381,             0.00080883,             0.00080883,             0.00080883
                     16,                  1.604,                 1.4092,                 1.1073,                0.50257,                0.20711,                0.21523,                0.08644,                 1.9921,                 1.9166,                 1.3384,             0.00074282,             0.00074282,             0.00074282
                     17,                  1.699,                 1.3791,                 1.1871,                 0.4454,                0.18458,                0.15533,                0.07068,                 2.1678,                 2.2656,                 1.4222,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.5572,                 1.2826,                 1.1043,                0.26002,                0.20497,                0.13613,                0.07446,                 1.7119,                   1.93,                 1.1813,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.4752,                 1.1981,                 1.0524,                0.37545,                0.22981,                0.21127,                0.10597,                 1.7687,                 1.8873,                 1.2616,             0.00054478,             0.00054478,             0.00054478
                     20,                  1.458,                 1.1488,                  1.081,                0.30647,                0.20497,                 0.1812,                0.09732,                 1.6789,                 1.7106,                 1.1702,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.5881,                 1.3743,                 1.1087,                0.34732,                0.21118,                0.18104,                0.09537,                 1.6215,                 1.6755,                 1.1924,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.5863,                 1.1978,                 1.1339,                0.34445,                0.19583,                0.16919,                0.09933,                 1.5425,                 1.6816,                 1.1416,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.4458,                 1.1849,                 1.0403,                 0.3502,                 0.2236,                0.22019,                0.12288,                 1.5309,                 1.4079,                 1.1572,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.4227,                 1.1372,                 1.0393,                0.43341,                0.24224,                0.23073,                0.13003,                  1.516,                 1.2605,                 1.1436,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.3389,                 1.0525,                 1.0352,                0.42444,                0.26087,                0.24433,                0.13274,                 1.5152,                 1.2555,                 1.1448,              0.0001487,              0.0001487,              0.0001487
