                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1703,                 8.2786,                 1.5885,                0.00306,                0.01242,                0.00155,                0.00116,                 2.5673,                 13.089,                 1.7631,             0.00015003,             0.00015003,             0.00015003
                      2,                 2.1688,                 6.5004,                 1.4227,                0.26016,                0.04969,                0.05205,                0.03503,                 1.7975,                 54.975,                 1.2346,             0.00030628,             0.00030628,             0.00030628
                      3,                 1.8768,                 3.3277,                 1.1712,                0.03201,                0.18634,                0.01584,                0.00882,                 1.8165,                 126.67,                 3.2434,             0.00045152,             0.00045152,             0.00045152
                      4,                 1.8635,                 2.6438,                 1.2159,                0.00165,                0.01863,                0.00085,                0.00056,                 2.0814,                    inf,                 15.135,             0.00058577,             0.00058577,             0.00058577
                      5,                 1.7905,                 2.2488,                 1.2167,                0.01183,                0.01242,                0.00468,                 0.0014,                 2.8026,                    inf,                 118.49,             0.00070901,             0.00070901,             0.00070901
                      6,                 1.8941,                 2.0377,                 1.1107,                0.01183,                0.01242,                0.00468,                 0.0014,                    nan,                    nan,                    nan,             0.00082125,             0.00082125,             0.00082125
                      7,                 1.8537,                 1.8958,                 1.2539,                0.01183,                0.01242,                0.00468,                 0.0014,                  1.927,                    inf,                 72.912,             0.00092248,             0.00092248,             0.00092248
                      8,                 1.8888,                 1.8324,                 1.2316,                0.01183,                0.01242,                0.00468,                 0.0014,                    nan,                    nan,                    nan,              0.0010127,              0.0010127,              0.0010127
                      9,                 1.9926,                 2.0976,                 1.3047,                0.01183,                0.01242,                0.00468,                 0.0014,                    nan,                    nan,                    nan,               0.001092,               0.001092,               0.001092
                     10,                 1.9089,                 1.9516,                 1.2548,                0.04673,                0.01863,                 0.0065,                0.00421,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     11,                 2.1022,                 2.2492,                 1.3756,                0.00012,                0.00621,                  7e-05,                  3e-05,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.8885,                 1.9449,                 1.2768,                0.00012,                0.00621,                  7e-05,                  3e-05,                 3.8138,                    nan,                 2.4335,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.8343,                 1.8013,                 1.2215,                0.00552,                0.01242,                0.00188,                0.00073,                 2.9599,                    inf,                 2.0079,              0.0010619,              0.0010619,              0.0010619
                     14,                 2.0725,                 2.1471,                  1.389,                0.06606,                0.01863,                0.00921,                0.00511,                 2.5481,                 81.987,                  2.362,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.8928,                 1.6404,                 1.2314,                 0.2884,                0.02484,                0.02206,                 0.0128,                 2.6781,                 54.607,                 2.4428,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.7933,                 1.6999,                  1.332,                0.00092,                0.01242,                0.00013,                  7e-05,                 4.5879,                    inf,                 16.813,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.7429,                  1.642,                 1.2421,                0.00287,                0.03106,                0.00118,                0.00047,                 4.6445,                    inf,                 57.181,             0.00084184,             0.00084184,             0.00084184
                     18,                  1.878,                 1.7851,                  1.262,                0.00516,                0.04348,                0.00193,                0.00065,                 4.1572,                    inf,                 13.596,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.7068,                 1.4449,                 1.1306,                0.00569,                0.03106,                0.00314,                0.00098,                  4.719,                 1155.9,                 22.376,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.7684,                 1.6199,                 1.1894,                0.23694,                0.01242,                0.01576,                0.00963,                 3.6808,                 6.3817,                 6.5882,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.5373,                 1.4619,                 1.0465,                0.34286,                 0.0559,                0.04868,                0.03172,                 2.6902,                 3.4349,                 1.7839,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.6173,                 1.3046,                 1.1162,                0.40257,                0.17391,                0.17223,                0.09243,                   1.77,                 1.9355,                 1.2476,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.5066,                  1.255,                 1.0632,                0.47948,                0.19255,                0.20158,                0.10767,                 1.7301,                 1.9228,                 1.2443,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.3889,                 1.1309,                 1.0275,                 0.5041,                0.23602,                0.24187,                0.12101,                 1.6184,                 1.6962,                 1.1446,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.3638,                 1.0891,                 1.0573,                0.59427,                0.22746,                0.24535,                 0.1322,                 1.6161,                 1.6397,                 1.1576,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.4688,                 1.1929,                  1.078,                0.72197,                0.23602,                0.27548,                 0.1423,                 1.5442,                 1.1955,                 1.1026,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.3852,                 1.0964,                 1.0536,                0.60428,                0.24224,                0.26246,                0.14404,                 1.5221,                  1.242,                 1.1099,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.3847,                 1.1886,                  1.069,                0.49707,                0.26087,                0.27945,                0.14732,                 1.5324,                 1.2648,                 1.1253,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.4121,                 1.0857,                 1.0602,                0.48166,                0.27329,                0.27593,                0.14302,                 1.5148,                 1.2776,                 1.1171,              0.0001817,              0.0001817,              0.0001817
                     30,                  1.395,                 1.0805,                 1.0482,                0.49793,                0.27105,                0.27775,                0.14591,                 1.5056,                  1.308,                 1.1179,             0.00012669,             0.00012669,             0.00012669
