                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                  1.671,                 1.9101,                 1.5134,                 1.0547,                0.60753,                0.57121,                 0.5778,                0.29921,                0.62964,                0.50077,                0.51749,                 0.2035,                 1.4981,                 2.3479,                 1.2066,                0.97477,             7.9002e-05,             7.9002e-05,             7.9002e-05
                     23,                 1.6654,                  1.912,                 1.5052,                 1.0532,                0.61822,                0.55896,                0.55401,                 0.2893,                0.58324,                0.50383,                0.47462,                0.18656,                 1.4964,                 2.3509,                  1.211,                0.97049,             7.8002e-05,             7.8002e-05,             7.8002e-05
                     24,                 1.6373,                 1.9101,                 1.4601,                 1.0472,                0.63572,                0.56355,                0.57268,                0.29378,                0.59321,                0.50917,                 0.4899,                0.19202,                 1.4986,                 2.3405,                 1.1967,                0.97206,             7.7002e-05,             7.7002e-05,             7.7002e-05
                     25,                 1.6111,                  1.881,                  1.434,                 1.0353,                0.63911,                0.56049,                0.57335,                0.29456,                0.59654,                0.51399,                 0.4937,                0.19513,                 1.4944,                 2.3414,                 1.1925,                0.97345,             7.6002e-05,             7.6002e-05,             7.6002e-05
                     26,                 1.6244,                 1.8603,                 1.4136,                  1.031,                0.63926,                0.56447,                0.57169,                0.28888,                0.60346,                0.50842,                0.48696,                0.18663,                 1.5086,                 2.3549,                 1.1822,                0.97358,             7.5002e-05,             7.5002e-05,             7.5002e-05
                     27,                 1.6257,                 1.8976,                 1.4367,                 1.0394,                0.63459,                0.54364,                0.56569,                0.29675,                0.59479,                0.49311,                0.47842,                0.19149,                 1.4722,                   2.33,                 1.1706,                 0.9627,             7.4003e-05,             7.4003e-05,             7.4003e-05
                     28,                  1.618,                 1.9417,                 1.3988,                 1.0397,                0.65764,                0.56662,                0.58328,                0.29901,                0.61085,                0.52374,                0.50132,                0.19531,                 1.4794,                 2.3301,                 1.1554,                0.96279,             7.3003e-05,             7.3003e-05,             7.3003e-05
                     29,                 1.6282,                 1.8074,                 1.3942,                 1.0322,                0.64684,                0.59112,                0.59652,                0.30643,                0.59876,                0.54671,                0.49964,                0.19353,                 1.4753,                 2.3406,                 1.1331,                0.96107,             7.2003e-05,             7.2003e-05,             7.2003e-05
                     30,                 1.6326,                  1.905,                 1.4076,                 1.0296,                0.65192,                0.57077,                0.59815,                 0.3131,                0.60482,                0.51608,                 0.5021,                0.19956,                 1.4679,                 2.2901,                 1.1251,                0.95595,             7.1003e-05,             7.1003e-05,             7.1003e-05
                     31,                 1.6053,                  1.837,                 1.3515,                 1.0236,                0.63427,                0.59877,                0.59794,                0.31074,                0.60079,                0.53752,                0.50066,                0.19704,                 1.4744,                 2.3192,                 1.1053,                0.95721,             7.0003e-05,             7.0003e-05,             7.0003e-05
